customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,lfm_cluster,low_trust_flag,dissatisfied_flag,flight_risk_flag,soft_score,log_balance,lfm_score_norm,soft_score_norm,final_churn_risk_score,risk_category
15634602,619,0,0,42,2,0.0,1,1,1,101348.88,1,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15647311,608,2,0,41,1,83807.86,1,0,1,112542.58,0,0,0,0,0,0,11.336294008805,0.0,0.0,0.0,Low Risk
15619304,502,0,0,42,8,159660.8,3,1,0,113931.57,1,2,1,0,0,1,11.980813107093399,1.0,0.3333333333333333,0.6666666666666666,High Risk
15701354,699,0,0,39,1,0.0,2,0,0,93826.63,0,1,0,1,1,2,0.0,0.5,0.6666666666666666,0.5833333333333333,Medium Risk
15737888,850,2,0,43,2,125510.82,1,1,1,79084.1,0,0,0,0,0,0,11.740155216385942,0.0,0.0,0.0,Low Risk
15574012,645,2,1,44,8,113755.78,2,1,0,149756.71,1,2,0,0,0,0,11.64181793943253,1.0,0.0,0.5,Medium Risk
15592531,822,0,1,50,7,0.0,2,1,1,10062.8,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15792365,501,0,1,44,4,142051.07,2,0,1,74940.5,0,2,1,0,0,1,11.863948959509845,1.0,0.3333333333333333,0.6666666666666666,High Risk
15592389,684,0,1,27,2,134603.88,1,1,1,71725.73,0,0,0,0,0,0,11.810098951107612,0.0,0.0,0.0,Low Risk
15767821,528,0,1,31,6,102016.72,2,0,0,80181.12,0,2,1,0,0,1,11.532901802668079,1.0,0.3333333333333333,0.6666666666666666,High Risk
15737173,497,2,1,24,3,0.0,2,1,0,76390.01,0,1,1,0,1,2,0.0,0.5,0.6666666666666666,0.5833333333333333,Medium Risk
15632264,476,0,0,34,10,0.0,2,1,0,26260.98,0,1,1,0,1,2,0.0,0.5,0.6666666666666666,0.5833333333333333,Medium Risk
15691483,549,0,0,25,5,0.0,2,0,0,190857.79,0,1,1,0,1,2,0.0,0.5,0.6666666666666666,0.5833333333333333,Medium Risk
15600882,635,2,0,35,7,0.0,2,1,1,65951.65,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15643966,616,1,1,45,3,143129.41,2,0,1,64327.26,0,2,0,0,0,0,11.87151145170291,1.0,0.0,0.5,Medium Risk
15737452,653,1,1,58,1,132602.88,1,1,0,5097.67,1,0,0,1,0,1,11.79512161724095,0.0,0.3333333333333333,0.16666666666666666,Low Risk
15788218,549,2,0,24,9,0.0,2,1,1,14406.41,0,1,1,0,1,2,0.0,0.5,0.6666666666666666,0.5833333333333333,Medium Risk
15661507,587,2,1,45,6,0.0,1,0,0,158684.81,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15568982,726,0,0,24,6,0.0,2,1,1,54724.03,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15577657,732,0,1,41,8,0.0,2,1,1,170886.17,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15597945,636,2,0,32,8,0.0,2,1,0,138555.46,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15699309,510,2,0,38,4,0.0,1,1,0,118913.53,1,1,1,0,1,2,0.0,0.5,0.6666666666666666,0.5833333333333333,Medium Risk
15725737,669,0,1,46,3,0.0,2,0,1,8487.75,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15625047,846,0,0,38,5,0.0,1,1,1,187616.16,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15738191,577,0,1,25,3,0.0,2,0,1,124508.29,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15736816,756,1,1,36,2,136815.64,1,1,1,170041.95,0,0,0,0,0,0,11.826396914200256,0.0,0.0,0.0,Low Risk
15700772,571,0,1,44,9,0.0,2,0,0,38433.35,0,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15728693,574,1,0,43,3,141349.43,1,1,1,100187.43,0,0,0,0,0,0,11.858997405211202,0.0,0.0,0.0,Low Risk
15656300,411,0,1,29,0,59697.17,2,1,1,53483.21,0,2,1,0,0,1,10.997056645644541,1.0,0.3333333333333333,0.6666666666666666,High Risk
15589475,591,2,0,39,3,0.0,3,1,0,140469.38,1,1,0,0,1,1,0.0,0.5,0.3333333333333333,0.41666666666666663,Medium Risk
15706552,533,0,1,36,7,85311.7,1,0,1,156731.91,0,0,1,0,0,1,11.354078608681013,0.0,0.3333333333333333,0.16666666666666666,Low Risk
15750181,553,1,1,41,9,110112.54,2,0,0,81898.81,0,2,0,0,0,0,11.60926729425936,1.0,0.0,0.5,Medium Risk
